!	1.0 ! #1
!!	1.0 ! ! #1
!!!	1.0 ! ! !
"	1.0 " #1
(1219716-T)	1.0 ( 1 2 1 9 7 1 6 - T )
(124525-H)	1.0 ( 1 2 4 5 2 5 - H )
(1248446-V)	1.0 ( 1 2 4 8 4 4 6 - V )
(1248717-W)	1.0 ( 1 2 4 8 7 1 7 - W )
(126926-H)	1.0 ( 1 2 6 9 2 6 - H )
(13%=	1.0 ( 1 3 % =
(1365663-P)	1.0 ( 1 3 6 5 6 6 3 - P )
(139386	1.0 ( 1 3 9 3 8 6
(162761-M)	1.0 ( 1 6 2 7 6 1 - M )
(169199-V)	1.0 ( 1 6 9 1 9 9 - V )
(169609-A)	1.0 ( 1 6 9 6 0 9 - A )
(1PAIR)	1.0 ( 1 P A I R )
(1UNIT)	1.0 ( 1 U N I T )
(2.333X	1.0 ( 2 . 3 3 3 X
(201283-M)	1.0 ( 2 0 1 2 8 3 - M )
(20MINS)	1.0 ( 2 0 M I N S )
(220MMX310MM)	1.0 ( 2 2 0 M M X 3 1 0 M M )
(2366)	1.0 ( 2 3 6 6 )
(256864-P)	1.0 ( 2 5 6 8 6 4 - P )
(2KG)	1.0 ( 2 K G )
(3%):	1.0 ( 3 % ) :
(3)	1.0 ( 3 )
(308282-A)	1.0 ( 3 0 8 2 8 2 - A )
(310184-X)	1.0 ( 3 1 0 1 8 4 - X )
(317041-W)	1.0 ( 3 1 7 0 4 1 - W )
(3737)	1.0 ( 3 7 3 7 )
(383322-D)	1.0 ( 3 8 3 3 2 2 - D )
(3:1)	1.0 ( 3 : 1 )
(4)	1.0 ( 4 )
(417940-M),	1.0 ( 4 1 7 9 4 0 - M ) ,
(450'S/REAM)	1.0 ( 4 5 0 ' S / R E A M )
(458592-T)	1.0 ( 4 5 8 5 9 2 - T )
(481500-M)	1.0 ( 4 8 1 5 0 0 - M )
(482123-U)	1.0 ( 4 8 2 1 2 3 - U )
(5	1.0 ( 5 #1
(5'S/PACK)	1.0 ( 5 ' S / P A C K )
(500GM)	1.0 ( 5 0 0 G M )
(50118-A)	1.0 ( 5 0 1 1 8 - A )
(509213A)	1.0 ( 5 0 9 2 1 3 A )
(50KG)	1.0 ( 5 0 K G )
(50PCS)	1.0 ( 5 0 P C S )
(519537-X)	1.0 ( 5 1 9 5 3 7 - X )
(521273-W)	1.0 ( 5 2 1 2 7 3 - W )
(523847-W)	1.0 ( 5 2 3 8 4 7 - W )
(524101-D)	1.0 ( 5 2 4 1 0 1 - D )
(524463-X)	1.0 ( 5 2 4 4 6 3 - X )
(562007-D)	1.0 ( 5 6 2 0 0 7 - D )
(57MMX60MMX12MM)	1.0 ( 5 7 M M X 6 0 M M X 1 2 M M )
(583246-A).	1.0 ( 5 8 3 2 4 6 - A ) .
(587969-U)	1.0 ( 5 8 7 9 6 9 - U )
(590150-A)	1.0 ( 5 9 0 1 5 0 - A )
(6%)	1.0 ( 6 % ) #1
(6%):	1.0 ( 6 % ) :
(6)	1.0 ( 6 )
(6.000%)	1.0 ( 6 . 0 0 0 % )
(603)	1.0 ( 6 0 3 )
(616227-D)	1.0 ( 6 1 6 2 2 7 - D )
(65351-M)	1.0 ( 6 5 3 5 1 - M )
(682288-V)	1.0 ( 6 8 2 2 8 8 - V )
(716269-X)	1.0 ( 7 1 6 2 6 9 - X )
(728515-M)	1.0 ( 7 2 8 5 1 5 - M )
(728515-N)	1.0 ( 7 2 8 5 1 5 - N )
(742016-W)	1.0 ( 7 4 2 0 1 6 - W )
(750)	1.0 ( 7 5 0 )
(759765-H)	1.0 ( 7 5 9 7 6 5 - H )
(75HT)	1.0 ( 7 5 H T )
(761834-D)	1.0 ( 7 6 1 8 3 4 - D )
(767840-W)	1.0 ( 7 6 7 8 4 0 - W )
(779763-K)	1.0 ( 7 7 9 7 6 3 - K )
(801222-M)	1.0 ( 8 0 1 2 2 2 - M )
(801580-T)	1.0 ( 8 0 1 5 8 0 - T )
(81109-A)	1.0 ( 8 1 1 0 9 - A )
(81497-P)	1.0 ( 8 1 4 9 7 - P )
(8199K)	1.0 ( 8 1 9 9 K )
(82256-V)	1.0 ( 8 2 2 5 6 - V )
(85HT)	1.0 ( 8 5 H T )
(867388-U)	1.0 ( 8 6 7 3 8 8 - U )
(872981-V)	1.0 ( 8 7 2 9 8 1 - V )
(88842-H)	1.0 ( 8 8 8 4 2 - H )
(894996-D)	1.0 ( 8 9 4 9 9 6 - D )
(913144-A)	1.0 ( 9 1 3 1 4 4 - A )
(945402-P)	1.0 ( 9 4 5 4 0 2 - P )
(95874))	1.0 ( 9 5 8 7 4 ) )
(961394-X)	1.0 ( 9 6 1 3 9 4 - X )
(965752-T)	1.0 ( 9 6 5 7 5 2 - T )
(989625-A)	1.0 ( 9 8 9 6 2 5 - A )
(@	1.0 ( @ #1
(@0%)	1.0 ( @ 0 % )
(@6%)	1.0 ( @ 6 % )
(A)	1.0 ( A )
(A1)	1.0 ( A 1 )
(A2F1)BG	1.0 ( A 2 F 1 ) B G
(A3F1)PMFLR	1.0 ( A 3 F 1 ) P M F L R
(AC)	1.0 ( A C )
(ADAMARK)	1.0 ( A D A M A R K )
(ARA	1.0 ( A R A
(B	1.0 ( B #1
(B)	1.0 ( B ) #1
(B),	1.0 ( B ) ,
(B03)	1.0 ( B 0 3 )
(B3F1)PM	1.0 ( B 3 F 1 ) P M
(BAG)	1.0 ( B A G )
(BB-5882)	1.0 ( B B - 5 8 8 2 )
(BILL	1.0 ( B I L L
(BK)	1.0 ( B K )
(BLACK)	1.0 ( B L A C K )
(BLUE)	1.0 ( B L U E )
(BP)	1.0 ( B P )
(BQ)	1.0 ( B Q )
(BTL)	1.0 ( B T L )
(CAMPAP	1.0 ( C A M P A P
(CAN)	1.0 ( C A N )
(CASH)	1.0 ( C A S H )
(CHERAS	1.0 ( C H E R A S
(CITTA	1.0 ( C I T T A
(CO	1.0 ( C O #1
(CO.	1.0 ( C O . #1
(CO.NO.	1.0 ( C O . N O . #1
(CO.NO.639240	1.0 ( C O . N O . 6 3 9 2 4 0
(CO.NO.:	1.0 ( C O . N O . :
(CO.REG	1.0 ( C O . R E G
(COLD)	1.0 ( C O L D )
(COMPANY	1.0 ( C O M P A N Y
(COMPLETE)	1.0 ( C O M P L E T E )
(CONDITIONS	1.0 ( C O N D I T I O N S
(COSWAY)	1.0 ( C O S W A Y )
(CQ)	1.0 ( C Q )
(CS00489793)	1.0 ( C S 0 0 4 8 9 7 9 3 )
(D)	1.0 ( D )
(DISC:	1.0 ( D I S C :
(DOZEN)	1.0 ( D O Z E N )
(DRY)(B)	1.0 ( D R Y ) ( B )
(E)	1.0 ( E )
(EACH)	1.0 ( E A C H )
(EAT	1.0 ( E A T
(ECOSWAY)	1.0 ( E C O S W A Y )
(EMPTY)-ITK	1.0 ( E M P T Y ) - I T K
(ENDAH	1.0 ( E N D A H
(EX)	1.0 ( E X )
(EXC	1.0 ( E X C #1
(EXCL	1.0 ( E X C L #1
(EXCL.	1.0 ( E X C L .
(EXCLUDED	1.0 ( E X C L U D E D
(EXCLUDING	1.0 ( E X C L U D I N G
(EXCLUSIVE	1.0 ( E X C L U S I V E
(GKJ)	1.0 ( G K J )
(GOODS	1.0 ( G O O D S
(GREEN)	1.0 ( G R E E N )
(GRID)z*VS	1.0 ( G R I D ) z * V S
(GST	1.0 ( G S T #1
(GST)	1.0 ( G S T )
(GST:001019043840)	1.0 ( G S T : 0 0 1 0 1 9 0 4 3 8 4 0 )
(GUEST	1.0 ( G U E S T
(H)	1.0 ( H )
(HITAM)	1.0 ( H I T A M )
(HN	1.0 ( H N
(HOMEMADE	1.0 ( H O M E M A D E
(HOT)	1.0 ( H O T )
(I)	1.0 ( I )
(IC	1.0 ( I C #1
(ICE)	1.0 ( I C E )
(ICED)	1.0 ( I C E D )
(ID:5033)	1.0 ( I D : 5 0 3 3 )
(INC	1.0 ( I N C #1
(INC.	1.0 ( I N C .
(INCL	1.0 ( I N C L #1
(INCL.	1.0 ( I N C L . #1
(INCL.GST)	1.0 ( I N C L . G S T )
(INCLUSIVE	1.0 ( I N C L U S I V E
(IOI	1.0 ( I O I
(JALAN	1.0 ( J A L A N
(JB)	1.0 ( J B )
(JM0292487-D)	1.0 ( J M 0 2 9 2 4 8 7 - D )
(JM0352019-K)	1.0 ( J M 0 3 5 2 0 1 9 - K )
(JM0840871-W)	1.0 ( J M 0 8 4 0 8 7 1 - W )
(JOHOR)	1.0 ( J O H O R )
(KB)	1.0 ( K B )
(KC)	1.0 ( K C )
(KECIL)	1.0 ( K E C I L )
(KEPONG)	1.0 ( K E P O N G )
(KI	1.0 ( K I
(KJ1)	1.0 ( K J 1 )
(KL)	1.0 ( K L )
(KSB)	1.0 ( K S B )
(KUCHAI)	1.0 ( K U C H A I )
(L)	1.0 ( L )
(LC)	1.0 ( L C )
(LLP0007299-LGN)	1.0 ( L L P 0 0 0 7 2 9 9 - L G N )
(M)	1.0 ( M )
(M-	1.0 ( M -
(MALAYSIA)	1.0 ( M A L A Y S I A )
(MALL)	1.0 ( M A L L )
(MASTER)	1.0 ( M A S T E R )
(MELAWATI	1.0 ( M E L A W A T I
(MON)	1.0 ( M O N )
(MUTIARA	1.0 ( M U T I A R A
(MX-CDR)	1.0 ( M X - C D R )
(MY)	1.0 ( M Y )
(MYR)	1.0 ( M Y R )
(NEW	1.0 ( N E W #1
(NEW)	1.0 ( N E W )
(NORMAL)	1.0 ( N O R M A L )
(OFFER)	1.0 ( O F F E R )
(OREN)	1.0 ( O R E N )
(PER	1.0 ( P E R #1
(PER/PACK)	1.0 ( P E R / P A C K ) #1
(PER/PACK)-RM2	1.0 ( P E R / P A C K ) - R M 2
(PJ)	1.0 ( P J )
(PKT)	1.0 ( P K T )
(PLAIN)	1.0 ( P L A I N )
(POS	1.0 ( P O S
(PRICE	1.0 ( P R I C E
(PRLCE	1.0 ( P R L C E
(PUSAT	1.0 ( P U S A T
(QTY	1.0 ( Q T Y
(R05)	1.0 ( R 0 5 )
(RECEIPT	1.0 ( R E C E I P T
(RED)	1.0 ( R E D )
(RM)	1.0 ( R M ) #1
(RM):	1.0 ( R M ) :
(S	1.0 ( S #1
(S)	1.0 ( S ) #1
(S)"	1.0 ( S ) "
(SCB-4012)	1.0 ( S C B - 4 0 1 2 )
(SELAYANG	1.0 ( S E L A Y A N G
(SETIA	1.0 ( S E T I A
(SG	1.0 ( S G
(SIRIM)	1.0 ( S I R I M )
(SJB-4013)	1.0 ( S J B - 4 0 1 3 )
(SMALL)	1.0 ( S M A L L )
(SOS)	1.0 ( S O S )
(SP)	1.0 ( S P )
(SQUARE)	1.0 ( S Q U A R E )
(STORE)	1.0 ( S T O R E )
(STRAND	1.0 ( S T R A N D
(SUBANG	1.0 ( S U B A N G
(SUN)	1.0 ( S U N )
(SUNGAI	1.0 ( S U N G A I
(T	1.0 ( T #1
(T.AWAY)	1.0 ( T . A W A Y )
(T02)	1.0 ( T 0 2 )
(TE)	1.0 ( T E )
(TESCO	1.0 ( T E S C O
(TONYMOLY	1.0 ( T O N Y M O L Y
(TOTAL	1.0 ( T O T A L
(UNIT)	1.0 ( U N I T )
(V02)	1.0 ( V 0 2 )
(VISA)	1.0 ( V I S A )
(VR100)/KAYE	1.0 ( V R 1 0 0 ) / K A Y E
(W33)	1.0 ( W 3 3 )
(WH	1.0 ( W H #1
(WHITE)	1.0 ( W H I T E )
(WOC-115)	1.0 ( W O C - 1 1 5 )
(WWW.	1.0 ( W W W .
(X)	1.0 ( X )
(YELLOW)	1.0 ( Y E L L O W )
(Z)	1.0 ( Z )
(ZR	1.0 ( Z R
(z309)	1.0 ( z 3 0 9 )
(z36	1.0 ( z 3 6
)	1.0 )
*	1.0 * #1
**	1.0 * * #1
***	1.0 * * * #1
****	1.0 * * * * #1
************4116	1.0 * * * * * * * * * * * * 4 1 1 6
************9014	1.0 * * * * * * * * * * * * 9 0 1 4
****MERCI	1.0 * * * * M E R C I
****THANK	1.0 * * * * T H A N K
***PLEASE	1.0 * * * P L E A S E
***THANK	1.0 * * * T H A N K
**TAX	1.0 * * T A X
*1	1.0 * 1
*2	1.0 * 2
*3	1.0 * 3 #1
*350PCS	1.0 * 3 5 0 P C S
*4	1.0 * 4
*6%	1.0 * 6 %
*BILL*	1.0 * B I L L *
*CUSTOMER	1.0 * C U S T O M E R #1
*CUSTOMERSERVICE@DELUXEGROUPS.COM	1.0 * C U S T O M E R S E R V I C E @ D E L U X E G R O U P S . C O M
*GOODS	1.0 * G O O D S
*GST	1.0 * G S T
*REDEEM	1.0 * R E D E E M
*RELIEF	1.0 * R E L I E F
*RUNCIT	1.0 * R U N C I T
*S	1.0 * S #1
*SETTLED	1.0 * S E T T L E D
*T3620000011000136498*	1.0 * T 3 6 2 0 0 0 0 0 1 1 0 0 0 1 3 6 4 9 8 *
*T3620000011000140428*	1.0 * T 3 6 2 0 0 0 0 0 1 1 0 0 0 1 4 0 4 2 8 *
*THANK	1.0 * T H A N K
*TOTAL	1.0 * T O T A L
*z	1.0 * z
+	1.0 + #1
+*TR	1.0 + * T R
+/-	1.0 + / -
+6	1.0 + 6 #1
+6012-5060668	1.0 + 6 0 1 2 - 5 0 6 0 6 6 8
+6012-918	1.0 + 6 0 1 2 - 9 1 8
+603	1.0 + 6 0 3 #1
+603-3362	1.0 + 6 0 3 - 3 3 6 2
+603-62629219	1.0 + 6 0 3 - 6 2 6 2 9 2 1 9
+603-9130	1.0 + 6 0 3 - 9 1 3 0
+60342661226	1.0 + 6 0 3 4 2 6 6 1 2 2 6
+607-357	1.0 + 6 0 7 - 3 5 7
,	1.0 , #1
,GST@6%	1.0 , G S T @ 6 %
,PT	1.0 , P T
,U13/X	1.0 , U 1 3 / X
-	1.0 - #1
-.01	1.0 - . 0 1
-.02	1.0 - . 0 2
-0.01	1.0 - 0 . 0 1
-0.02	1.0 - 0 . 0 2
-0.03	1.0 - 0 . 0 3
-0.04	1.0 - 0 . 0 4
-0.07	1.0 - 0 . 0 7
-0.17	1.0 - 0 . 1 7
-0.22	1.0 - 0 . 2 2
-0.24	1.0 - 0 . 2 4
-0.25	1.0 - 0 . 2 5
-0.29	1.0 - 0 . 2 9
-0.45	1.0 - 0 . 4 5
-0.72	1.0 - 0 . 7 2
-0.75	1.0 - 0 . 7 5
-0.78	1.0 - 0 . 7 8
-0.84	1.0 - 0 . 8 4
-0.89	1.0 - 0 . 8 9
-1	1.0 - 1 #1
-1.00	1.0 - 1 . 0 0
-1.07	1.0 - 1 . 0 7
-1.10	1.0 - 1 . 1 0
-1.20	1.0 - 1 . 2 0
-1.25	1.0 - 1 . 2 5
-1.39	1.0 - 1 . 3 9
-1.58	1.0 - 1 . 5 8
-1.68	1.0 - 1 . 6 8
-1.73	1.0 - 1 . 7 3
-1.90	1.0 - 1 . 9 0
-10	1.0 - 1 0 #1
-10.00	1.0 - 1 0 . 0 0
-100.00	1.0 - 1 0 0 . 0 0
-11.80	1.0 - 1 1 . 8 0
-11.97	1.0 - 1 1 . 9 7
-12.78	1.0 - 1 2 . 7 8
-12.95	1.0 - 1 2 . 9 5
-13.30	1.0 - 1 3 . 3 0
-13.87	1.0 - 1 3 . 8 7
-14.71	1.0 - 1 4 . 7 1
-16OZ	1.0 - 1 6 O Z
-17.73	1.0 - 1 7 . 7 3
-18.80	1.0 - 1 8 . 8 0
-2	1.0 - 2 #1
-2.13	1.0 - 2 . 1 3
-2.16	1.0 - 2 . 1 6
-2.37	1.0 - 2 . 3 7
-2.57	1.0 - 2 . 5 7
-2.75	1.0 - 2 . 7 5
-2.78	1.0 - 2 . 7 8
-2.88	1.0 - 2 . 8 8
-2.90	1.0 - 2 . 9 0
-2.98	1.0 - 2 . 9 8
-2.99	1.0 - 2 . 9 9
-20	1.0 - 2 0 #1
-20.00	1.0 - 2 0 . 0 0
-20.97	1.0 - 2 0 . 9 7
-28.90	1.0 - 2 8 . 9 0
-299.00	1.0 - 2 9 9 . 0 0
-3	1.0 - 3 #1
-3.05	1.0 - 3 . 0 5
-3.36	1.0 - 3 . 3 6
-3.51	1.0 - 3 . 5 1
-3.60	1.0 - 3 . 6 0
-3.72	1.0 - 3 . 7 2
-3.80	1.0 - 3 . 8 0
-30.00	1.0 - 3 0 . 0 0
-300.00	1.0 - 3 0 0 . 0 0
-4.20	1.0 - 4 . 2 0
-4.69	1.0 - 4 . 6 9
-40.10	1.0 - 4 0 . 1 0
-5	1.0 - 5 #1
-5.30	1.0 - 5 . 3 0
-5.40	1.0 - 5 . 4 0
-5.56	1.0 - 5 . 5 6
-5.59	1.0 - 5 . 5 9
-5.76	1.0 - 5 . 7 6
-5.94	1.0 - 5 . 9 4
-50.00	1.0 - 5 0 . 0 0
-51.00	1.0 - 5 1 . 0 0
-6	1.0 - 6 #1
-6.00	1.0 - 6 . 0 0
-6.25	1.0 - 6 . 2 5
-6.40	1.0 - 6 . 4 0
-647.30	1.0 - 6 4 7 . 3 0
-7.00	1.0 - 7 . 0 0
-7.43	1.0 - 7 . 4 3
-7.44	1.0 - 7 . 4 4
-7.56	1.0 - 7 . 5 6
-7.74	1.0 - 7 . 7 4
-7.89	1.0 - 7 . 8 9
-73.30	1.0 - 7 3 . 3 0
-8	1.0 - 8 #1
-8.00	1.0 - 8 . 0 0
-8.91	1.0 - 8 . 9 1
-9	1.0 - 9 #1
-9.60	1.0 - 9 . 6 0
-9.62	1.0 - 9 . 6 2
-908	1.0 - 9 0 8
-BBQ	1.0 - B B Q
-CARBON	1.0 - C A R B O N
-CITRUS	1.0 - C I T R U S
-EXCHANGEABLE	1.0 - E X C H A N G E A B L E
-FNM	1.0 - F N M
-INVOICE-	1.0 - I N V O I C E -
-L	1.0 - L #1
-LARGE	1.0 - L A R G E
-MEATBALL	1.0 - M E A T B A L L
-REG	1.0 - R E G
-RM	1.0 - R M #1
-RM0.01	1.0 - R M 0 . 0 1
-RM0.02	1.0 - R M 0 . 0 2
-RX	1.0 - R X
-S	1.0 - S
-TAKE	1.0 - T A K E
-TAX	1.0 - T A X
-UNIT	1.0 - U N I T
-YAM	1.0 - Y A M
.	1.0 . #1
...	1.0 . . . #1
...XPOSMART	1.0 . . . X P O S M A R T
.00	1.0 . 0 0
.01	1.0 . 0 1
.02	1.0 . 0 2
.10	1.0 . 1 0
.12	1.0 . 1 2
.14	1.0 . 1 4
.20	1.0 . 2 0
.21	1.0 . 2 1
.40	1.0 . 4 0
.57	1.0 . 5 7
.6%	1.0 . 6 %
.65	1.0 . 6 5
.76	1.0 . 7 6
.82	1.0 . 8 2
.90	1.0 . 9 0
.S	1.0 . S
/	1.0 / #1
/0531	1.0 / 0 5 3 1
/2A	1.0 / 2 A
/D	1.0 / D
/EXCHANGABLE.	1.0 / E X C H A N G A B L E .
/LITRE	1.0 / L I T R E
/MEAT	1.0 / M E A T
/S	1.0 / S
/WHATSAPPS	1.0 / W H A T S A P P S
0	1.0 0 #1
0%	1.0 0 % #1
0%)	1.0 0 % )
0*0	1.0 0 * 0
0+0	1.0 0 + 0
0-170891	1.0 0 - 1 7 0 8 9 1
0.0	1.0 0 . 0 #1
0.00	1.0 0 . 0 0 #1
0.00%	1.0 0 . 0 0 % #1
0.00%:	1.0 0 . 0 0 % :
0.00SR	1.0 0 . 0 0 S R
0.01	1.0 0 . 0 1 #1
0.01-	1.0 0 . 0 1 -
0.02	1.0 0 . 0 2 #1
0.02-	1.0 0 . 0 2 -
0.03	1.0 0 . 0 3
0.05	1.0 0 . 0 5
0.07	1.0 0 . 0 7
0.08	1.0 0 . 0 8
0.10	1.0 0 . 1 0 #1
0.1000	1.0 0 . 1 0 0 0
0.11	1.0 0 . 1 1
0.12	1.0 0 . 1 2
0.13	1.0 0 . 1 3
0.14	1.0 0 . 1 4
0.15	1.0 0 . 1 5
0.17	1.0 0 . 1 7 #1
0.17)=RM	1.0 0 . 1 7 ) = R M
0.19	1.0 0 . 1 9
0.20	1.0 0 . 2 0 #1
0.20SR	1.0 0 . 2 0 S R
0.22	1.0 0 . 2 2
0.23	1.0 0 . 2 3
0.24	1.0 0 . 2 4
0.25	1.0 0 . 2 5
0.26	1.0 0 . 2 6
0.27	1.0 0 . 2 7
0.28	1.0 0 . 2 8
0.29	1.0 0 . 2 9 #1
0.29-	1.0 0 . 2 9 -
0.30	1.0 0 . 3 0
0.33	1.0 0 . 3 3
0.34	1.0 0 . 3 4
0.36	1.0 0 . 3 6
0.37	1.0 0 . 3 7
0.38	1.0 0 . 3 8
0.40	1.0 0 . 4 0
0.41	1.0 0 . 4 1
0.42	1.0 0 . 4 2 #1
0.42)	1.0 0 . 4 2 )
0.43	1.0 0 . 4 3 #1
0.434	1.0 0 . 4 3 4
0.45	1.0 0 . 4 5
0.46	1.0 0 . 4 6
0.48	1.0 0 . 4 8
0.49	1.0 0 . 4 9
0.50	1.0 0 . 5 0
0.51	1.0 0 . 5 1
0.53	1.0 0 . 5 3
0.54	1.0 0 . 5 4
0.55	1.0 0 . 5 5 #1
0.5500	1.0 0 . 5 5 0 0
0.56	1.0 0 . 5 6
0.57	1.0 0 . 5 7
0.58	1.0 0 . 5 8
0.59	1.0 0 . 5 9
0.5MM	1.0 0 . 5 M M
0.60	1.0 0 . 6 0
0.61	1.0 0 . 6 1
0.63	1.0 0 . 6 3
0.64	1.0 0 . 6 4
0.65	1.0 0 . 6 5
0.66	1.0 0 . 6 6
0.68	1.0 0 . 6 8
0.69	1.0 0 . 6 9
0.70	1.0 0 . 7 0
0.72	1.0 0 . 7 2
0.73	1.0 0 . 7 3
0.74	1.0 0 . 7 4
0.75	1.0 0 . 7 5 #1
0.7500	1.0 0 . 7 5 0 0
0.76	1.0 0 . 7 6
0.78	1.0 0 . 7 8
0.79	1.0 0 . 7 9
0.80	1.0 0 . 8 0
0.83	1.0 0 . 8 3
0.84	1.0 0 . 8 4
0.85	1.0 0 . 8 5
0.86	1.0 0 . 8 6
0.87	1.0 0 . 8 7
0.9	1.0 0 . 9 #1
0.90	1.0 0 . 9 0
0.91	1.0 0 . 9 1
0.94*2000	1.0 0 . 9 4 * 2 0 0 0
0.95	1.0 0 . 9 5 #1
0.95*1	1.0 0 . 9 5 * 1
0.99	1.0 0 . 9 9
00	1.0 0 0 #1
00.40	1.0 0 0 . 4 0
000	1.0 0 0 0 #1
000-049909	1.0 0 0 0 - 0 4 9 9 0 9
